id,topic,claim,evidence_type,source,as_of,status,confidence,notes
E-001,211_scope,"211 Canada is a primary source for social service information with multi-channel access",external_official,https://211.ca/,2026-02-27,supported,high,"Home page text references phone/chat/text/web and national network."
E-002,211_language,"211 service is available in 150+ languages in most of Canada",external_official,https://211.ca/,2026-02-27,supported,high,"Present on 211.ca home content."
E-003,211_anonymity,"211 allows help-seeking without giving name or personal details",external_official,https://211.ca/,2026-02-27,supported,high,"Present on 211.ca home content."
E-004,211_scale,"211 reports ~150,000 services/programs and ~600,000 yearly contacts",external_official,https://211.ca/211-impact/,2026-02-27,supported,medium,"Derived from page snippets because direct static HTML did not include rendered counters."
E-005,211_scale_outcome,"211 reports ~17 million services accessed in 2023-24",external_official,https://211.ca/211-impact/,2026-02-27,supported,medium,"Derived from page snippets."
E-006,211_ontario_channels,"211 Ontario advertises phone/text/chat/email and 24-hour call specialist support",external_official,https://211ontario.ca/contact-211/,2026-02-27,supported,medium,"From discoverable snippets."
E-007,211_ontario_data,"211 Ontario claims custom database with daily updates and AIRS standardization",external_official,https://211ontario.ca/211-data/,2026-02-27,supported,medium,"From discoverable snippets."
E-008,211_tracking,"211 public web pages include analytics/cookie instrumentation",external_observed,"https://211.ca/, https://211ontario.ca/",2026-02-27,supported,high,"Observed gtag/GTM scripts and cookie banner language in captured HTML."
E-009,kcc_service_count,"KCC dataset contains 196 services",internal_repo,/home/jer/localsync/kingston-care-connect/data/services.json,2026-02-27,supported,high,"Counted with jq."
E-010,kcc_verification_levels,"KCC verification distribution is L1=121 and L2=75",internal_repo,/home/jer/localsync/kingston-care-connect/data/services.json,2026-02-27,supported,high,"Counted with jq group-by."
E-011,kcc_freshness_fields,"All service last_verified fields are null in current JSON",internal_repo,/home/jer/localsync/kingston-care-connect/data/services.json,2026-02-27,supported,high,"Counted with jq filter."
E-012,kcc_provenance,"130 records show AI-agent verifier and 48 are marked pending manual verification",internal_repo,/home/jer/localsync/kingston-care-connect/data/services.json,2026-02-27,supported,high,"Counted with jq by provenance.verified_by."
E-013,kcc_query_privacy,"KCC search analytics function avoids storing raw query text",internal_repo,/home/jer/localsync/kingston-care-connect/lib/analytics/search-analytics.ts,2026-02-27,supported,high,"Code comments and payload schema omit query."
E-014,kcc_server_cache_privacy,"KCC server search sets no-store caching when query is present",internal_repo,/home/jer/localsync/kingston-care-connect/app/api/v1/search/services/route.ts,2026-02-27,supported,high,"Explicit Cache-Control behavior in route."
E-015,kcc_internal_analytics,"KCC still records service interaction analytics events",internal_repo,/home/jer/localsync/kingston-care-connect/lib/analytics.ts,2026-02-27,supported,high,"Event inserts to analytics_events table."
E-016,kcc_offline_stack,"KCC has IndexedDB storage + sync + export endpoint + PWA runtime caching",internal_repo,"/home/jer/localsync/kingston-care-connect/lib/offline/db.ts; /home/jer/localsync/kingston-care-connect/lib/offline/sync.ts; /home/jer/localsync/kingston-care-connect/app/api/v1/services/export/route.ts; /home/jer/localsync/kingston-care-connect/next.config.ts",2026-02-27,supported,high,"Multiple independent implementation points."
E-017,kcc_languages_ui,"KCC routing enables 7 locales",internal_repo,/home/jer/localsync/kingston-care-connect/i18n/routing.ts,2026-02-27,supported,high,"Locales array includes en, fr, zh-Hans, ar, pt, es, pa."
E-018,kcc_accessibility_proof,"Current local accessibility run passed 13 and failed 37 tests",internal_runtime,"npm run test:a11y",2026-02-27,supported,medium,"Failures include missing browser binaries and timeouts; some real violations reported."
E-019,kcc_vs_211_language_claim,"'7 vs 2 languages' is only a UI comparison, not end-to-end support comparison",inference,"E-002 + E-017 + 211.ca language selector evidence",2026-02-27,partially_supported,medium,"211 channels advertise 150+ languages."
E-020,kcc_vs_211_positioning,"KCC is strongest as complement/access layer, not replacement for 211",inference,"E-001,E-004,E-006,E-009,E-016",2026-02-27,supported,high,"Derived from objective capability asymmetry."
